Region,Instance,vCPU,Memory(GB),Price
eastus,Standard_L8as_v3,8,64.0,0.624
eastus,Standard_L16as_v3,16,128.0,0.25
eastus,Standard_L32as_v3,32,256.0,2.496
eastus,Standard_L48as_v3,48,384.0,0.7956
eastus,Standard_L64as_v3,64,512.0,0.998
eastus,Standard_L80as_v3,80,640.0,1.248
eastus,Standard_D2a_v4,2,8.0,0.0192
eastus,Standard_D4a_v4,4,16.0,0.0384
eastus,Standard_D8a_v4,8,32.0,0.384
eastus,Standard_D16a_v4,16,64.0,0.159667
eastus,Standard_D32a_v4,32,128.0,1.536
eastus,Standard_D48a_v4,48,192.0,0.479002
eastus,Standard_D64a_v4,64,256.0,0.638669
eastus,Standard_D96a_v4,96,384.0,0.958003
eastus,Standard_D2as_v4,2,8.0,0.096
eastus,Standard_D4as_v4,4,16.0,0.192
eastus,Standard_D8as_v4,8,32.0,0.0768
eastus,Standard_D16as_v4,16,64.0,0.768
eastus,Standard_D32as_v4,32,128.0,0.319334
eastus,Standard_D48as_v4,48,192.0,0.461
eastus,Standard_D64as_v4,64,256.0,0.614
eastus,Standard_D96as_v4,96,384.0,4.608
eastus,Standard_E2a_v4,2,16.0,0.026712
eastus,Standard_E4a_v4,4,32.0,0.053424
eastus,Standard_E8a_v4,8,64.0,0.504
eastus,Standard_E16a_v4,16,128.0,1.008
eastus,Standard_E20a_v4,20,160.0,0.252
eastus,Standard_E32a_v4,32,256.0,0.403
eastus,Standard_E48a_v4,48,384.0,0.641088
eastus,Standard_E64a_v4,64,512.0,4.032
eastus,Standard_E96a_v4,96,672.0,6.048
eastus,Standard_E2as_v4,2,16.0,0.026712
eastus,Standard_E4-2as_v4,4,32.0,0.053424
eastus,Standard_E4as_v4,4,32.0,0.053424
eastus,Standard_E8-2as_v4,8,64.0,0.106848
eastus,Standard_E8-4as_v4,8,64.0,0.101
eastus,Standard_E8as_v4,8,64.0,0.101
eastus,Standard_E16-4as_v4,16,128.0,0.202
eastus,Standard_E16-8as_v4,16,128.0,0.213696
eastus,Standard_E16as_v4,16,128.0,0.202
eastus,Standard_E20as_v4,20,160.0,1.26
eastus,Standard_E32-8as_v4,32,256.0,0.427392
eastus,Standard_E32-16as_v4,32,256.0,0.403
eastus,Standard_E32as_v4,32,256.0,2.016
eastus,Standard_E48as_v4,48,384.0,3.024
eastus,Standard_E64-16as_v4,64,512.0,0.854784
eastus,Standard_E64-32as_v4,64,512.0,4.032
eastus,Standard_E64as_v4,64,512.0,0.806
eastus,Standard_E96-24as_v4,96,672.0,1.21
eastus,Standard_E96-48as_v4,96,672.0,1.282176
eastus,Standard_E96as_v4,96,672.0,6.048
eastus,Standard_D2as_v5,2,8.0,0.0172
eastus,Standard_D4as_v5,4,16.0,0.142
eastus,Standard_D8as_v5,8,32.0,0.344
eastus,Standard_D16as_v5,16,64.0,0.14964
eastus,Standard_D32as_v5,32,128.0,2.848
eastus,Standard_D48as_v5,48,192.0,0.44892
eastus,Standard_D64as_v5,64,256.0,2.278
eastus,Standard_D96as_v5,96,384.0,8.544
eastus,Standard_E2as_v5,2,16.0,0.0226
eastus,Standard_E4-2as_v5,4,32.0,0.164
eastus,Standard_E4as_v5,4,32.0,0.41
eastus,Standard_E8-2as_v5,8,64.0,0.095914
eastus,Standard_E8-4as_v5,8,64.0,0.0904
eastus,Standard_E8as_v5,8,64.0,0.452
eastus,Standard_E16-4as_v5,16,128.0,0.656
eastus,Standard_E16-8as_v5,16,128.0,1.64
eastus,Standard_E16as_v5,16,128.0,0.181
eastus,Standard_E20as_v5,20,160.0,2.05
eastus,Standard_E32-8as_v5,32,256.0,3.28
eastus,Standard_E32-16as_v5,32,256.0,1.808
eastus,Standard_E32as_v5,32,256.0,0.383658
eastus,Standard_E48as_v5,48,384.0,1.968
eastus,Standard_E64-16as_v5,64,512.0,0.723
eastus,Standard_E64-32as_v5,64,512.0,3.616
eastus,Standard_E64as_v5,64,512.0,3.616
eastus,Standard_E96-24as_v5,96,672.0,1.085
eastus,Standard_E96-48as_v5,96,672.0,9.84
eastus,Standard_E96as_v5,96,672.0,1.150973
eastus,Standard_D2ads_v5,2,8.0,0.022402
eastus,Standard_D4ads_v5,4,16.0,0.156
eastus,Standard_D8ads_v5,8,32.0,0.412
eastus,Standard_D16ads_v5,16,64.0,0.624
eastus,Standard_D32ads_v5,32,128.0,3.12
eastus,Standard_D48ads_v5,48,192.0,0.494
eastus,Standard_D64ads_v5,64,256.0,0.659
eastus,Standard_D96ads_v5,96,384.0,9.36
eastus,Standard_E2ads_v5,2,16.0,0.131
eastus,Standard_E4-2ads_v5,4,32.0,0.446
eastus,Standard_E4ads_v5,4,32.0,0.055596
eastus,Standard_E8-2ads_v5,8,64.0,0.111193
eastus,Standard_E8-4ads_v5,8,64.0,0.357
eastus,Standard_E8ads_v5,8,64.0,0.892
eastus,Standard_E16-4ads_v5,16,128.0,0.222386
eastus,Standard_E16-8ads_v5,16,128.0,0.21
eastus,Standard_E16ads_v5,16,128.0,1.784
eastus,Standard_E20ads_v5,20,160.0,2.23
eastus,Standard_E32-8ads_v5,32,256.0,3.568
eastus,Standard_E32-16ads_v5,32,256.0,1.427
eastus,Standard_E32ads_v5,32,256.0,3.568
eastus,Standard_E48ads_v5,48,384.0,5.352
eastus,Standard_E64-16ads_v5,64,512.0,0.838
eastus,Standard_E64-32ads_v5,64,512.0,7.136
eastus,Standard_E64ads_v5,64,512.0,4.192
eastus,Standard_E96-24ads_v5,96,672.0,1.334314
eastus,Standard_E96-48ads_v5,96,672.0,10.704
eastus,Standard_E96ads_v5,96,672.0,1.334314
eastus,Standard_D2ls_v6,2,4.0,0.020414
eastus,Standard_D4ls_v6,4,8.0,0.179
eastus,Standard_D8ls_v6,8,16.0,0.08161
eastus,Standard_D16ls_v6,16,32.0,0.714
eastus,Standard_D32ls_v6,32,64.0,0.326441
eastus,Standard_D48ls_v6,48,96.0,0.489661
eastus,Standard_D64ls_v6,64,128.0,0.652882
eastus,Standard_D96ls_v6,96,192.0,4.284
eastus,Standard_D128ls_v6,128,256.0,1.305992
eastus,Standard_D2lds_v6,2,4.0,0.11
eastus,Standard_D4lds_v6,4,8.0,0.221
eastus,Standard_D8lds_v6,8,16.0,0.441
eastus,Standard_D16lds_v6,16,32.0,0.204768
eastus,Standard_D32lds_v6,32,64.0,1.765
eastus,Standard_D48lds_v6,48,96.0,2.648
eastus,Standard_D64lds_v6,64,128.0,3.53
eastus,Standard_D96lds_v6,96,192.0,1.22791
eastus,Standard_D128lds_v6,128,256.0,1.637214
eastus,Standard_D2s_v6,2,8.0,0.101
eastus,Standard_D4s_v6,4,16.0,0.046177
eastus,Standard_D8s_v6,8,32.0,0.403
eastus,Standard_D16s_v6,16,64.0,0.184252
eastus,Standard_D32s_v6,32,128.0,0.368732
eastus,Standard_D48s_v6,48,192.0,2.419
eastus,Standard_D64s_v6,64,256.0,3.226
eastus,Standard_D96s_v6,96,384.0,1.105967
eastus,Standard_D128s_v6,128,512.0,6.451
eastus,Standard_D192s_v6,192,768.0,9.677
eastus,Standard_D2ds_v6,2,8.0,0.125
eastus,Standard_D4ds_v6,4,16.0,0.057743
eastus,Standard_D8ds_v6,8,32.0,0.498
eastus,Standard_D16ds_v6,16,64.0,0.231204
eastus,Standard_D32ds_v6,32,128.0,0.462177
eastus,Standard_D48ds_v6,48,192.0,0.693381
eastus,Standard_D64ds_v6,64,256.0,0.924585
eastus,Standard_D96ds_v6,96,384.0,1.386762
eastus,Standard_D128ds_v6,128,512.0,7.973
eastus,Standard_D192ds_v6,192,768.0,11.96
eastus,Standard_E2s_v6,2,16.0,0.026836
eastus,Standard_E4-2s_v6,4,32.0,0.265
eastus,Standard_E4s_v6,4,32.0,0.265
eastus,Standard_E8-2s_v6,8,64.0,0.107546
eastus,Standard_E8-4s_v6,8,64.0,0.529
eastus,Standard_E8s_v6,8,64.0,0.107546
eastus,Standard_E16-4s_v6,16,128.0,0.215091
eastus,Standard_E16-8s_v6,16,128.0,1.058
eastus,Standard_E16s_v6,16,128.0,0.215091
eastus,Standard_E20s_v6,20,160.0,0.268966
eastus,Standard_E32-8s_v6,32,256.0,2.117
eastus,Standard_E32-16s_v6,32,256.0,0.430386
eastus,Standard_E32s_v6,32,256.0,2.117
eastus,Standard_E48s_v6,48,384.0,3.175
eastus,Standard_E64-16s_v6,64,512.0,0.860772
eastus,Standard_E64-32s_v6,64,512.0,0.860772
eastus,Standard_E64s_v6,64,512.0,4.234
eastus,Standard_E96-24s_v6,96,768.0,1.290955
eastus,Standard_E96-48s_v6,96,768.0,6.35
eastus,Standard_E96s_v6,96,768.0,6.35
eastus,Standard_E2ds_v6,2,16.0,0.164
eastus,Standard_E4-2ds_v6,4,32.0,0.327
eastus,Standard_E4ds_v6,4,32.0,0.327
eastus,Standard_E8-2ds_v6,8,64.0,0.654
eastus,Standard_E8-4ds_v6,8,64.0,0.136555
eastus,Standard_E8ds_v6,8,64.0,0.654
eastus,Standard_E16-4ds_v6,16,128.0,0.27311
eastus,Standard_E16-8ds_v6,16,128.0,0.27311
eastus,Standard_E16ds_v6,16,128.0,0.27311
eastus,Standard_E20ds_v6,20,160.0,0.341388
eastus,Standard_E32-8ds_v6,32,256.0,0.546221
eastus,Standard_E32-16ds_v6,32,256.0,0.546221
eastus,Standard_E32ds_v6,32,256.0,0.546221
eastus,Standard_E48ds_v6,48,384.0,3.924
eastus,Standard_E64-16ds_v6,64,512.0,1.09265
eastus,Standard_E64-32ds_v6,64,512.0,1.09265
eastus,Standard_E64ds_v6,64,512.0,1.09265
eastus,Standard_E96-24ds_v6,96,768.0,7.849
eastus,Standard_E96-48ds_v6,96,768.0,7.849
eastus,Standard_E96ds_v6,96,768.0,1.638871
eastus,Standard_A1_v2,1,2.0,0.008265
eastus,Standard_A2m_v2,2,16.0,0.119
eastus,Standard_A2_v2,2,4.0,0.017356
eastus,Standard_A4m_v2,4,32.0,0.0475
eastus,Standard_A4_v2,4,8.0,0.03671
eastus,Standard_A8m_v2,8,64.0,0.0949
eastus,Standard_A8_v2,8,16.0,0.076688
eastus,Standard_B1ls,1,0.5,0.0052
eastus,Standard_B1ms,1,2.0,0.0207
eastus,Standard_B1s,1,1.0,0.0104
eastus,Standard_B2ms,2,8.0,0.0832
eastus,Standard_B2s,2,4.0,0.0416
eastus,Standard_B4ms,4,16.0,0.166
eastus,Standard_B8ms,8,32.0,0.333
eastus,Standard_B12ms,12,48.0,0.499
eastus,Standard_B16ms,16,64.0,0.666
eastus,Standard_B20ms,20,80.0,0.832
eastus,Standard_D2ds_v4,2,8.0,0.024272
eastus,Standard_D4ds_v4,4,16.0,0.0452
eastus,Standard_D8ds_v4,8,32.0,0.452
eastus,Standard_D16ds_v4,16,64.0,0.194179
eastus,Standard_D32ds_v4,32,128.0,0.388358
eastus,Standard_D48ds_v4,48,192.0,0.542
eastus,Standard_D64ds_v4,64,256.0,3.616
eastus,Standard_D2ds_v5,2,8.0,0.025018
eastus,Standard_D4ds_v5,4,16.0,0.0452
eastus,Standard_D8ds_v5,8,32.0,0.0904
eastus,Standard_D16ds_v5,16,64.0,0.904
eastus,Standard_D32ds_v5,32,128.0,0.362
eastus,Standard_D48ds_v5,48,192.0,0.600437
eastus,Standard_D64ds_v5,64,256.0,3.616
eastus,Standard_D96ds_v5,96,384.0,1.200874
eastus,Standard_D2d_v4,2,8.0,0.0226
eastus,Standard_D4d_v4,4,16.0,0.226
eastus,Standard_D8d_v4,8,32.0,0.0904
eastus,Standard_D16d_v4,16,64.0,0.181
eastus,Standard_D32d_v4,32,128.0,0.388358
eastus,Standard_D48d_v4,48,192.0,0.542
eastus,Standard_D64d_v4,64,256.0,0.723
eastus,Standard_D2d_v5,2,8.0,0.0226
eastus,Standard_D4d_v5,4,16.0,0.050036
